DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Cyprus,2012,93.8,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Cyprus,2013,93.5,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Cyprus,2014,92.5,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Cyprus,2015,92.0,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Cyprus,2016,92.4,b,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Cyprus,2017,93.3,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Cyprus,2018,94.4,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Cyprus,2019,95.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Cyprus,2020,95.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Cyprus,2021,96.8,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Cyprus,2022,99.1,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,1995,133.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,1996,133.5,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,1997,133.3,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,1998,133.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,1999,133.1,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2000,132.7,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2001,132.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2002,132.0,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2003,131.9,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2004,132.0,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2005,132.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2006,132.5,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2007,133.3,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2008,134.4,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2009,135.2,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2010,135.6,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2011,135.9,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2012,136.1,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2013,136.1,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2014,136.3,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2015,136.6,,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2016,136.8,b,
ESTAT:DEMO_R_D3DENS(1.0),26/03/24 23:00:00,Annual,Persons per square kilometre,Czechia,2017,137.2,,
