DATAFLOW,LAST UPDATE,freq,unit,wat_proc,wat_src,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,2022,30.00,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Hungary,2011,276.40,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Hungary,2012,264.20,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Hungary,2022,598.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Ireland,2018,32.81,b,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Ireland,2019,32.96,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Ireland,2020,35.33,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Ireland,2021,36.26,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Ireland,2022,36.33,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,2011,59.71,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,2012,57.03,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,2013,55.13,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,2014,54.34,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,2015,57.86,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,2016,55.78,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,2017,55.19,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,2018,53.47,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,2019,54.10,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,2020,56.13,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,2021,54.56,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Lithuania,2022,53.24,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Luxembourg,2013,0.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Luxembourg,2014,0.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Luxembourg,2015,0.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Luxembourg,2016,0.01,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Luxembourg,2017,0.01,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Luxembourg,2018,0.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Luxembourg,2019,0.04,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Luxembourg,2020,0.02,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Luxembourg,2021,0.01,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Luxembourg,2022,0.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Latvia,2011,20.96,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Latvia,2012,39.40,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Latvia,2013,34.18,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Latvia,2014,35.09,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Latvia,2015,47.07,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Latvia,2016,56.10,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Latvia,2017,52.72,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Latvia,2018,51.85,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Latvia,2019,51.70,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Latvia,2020,53.85,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Latvia,2021,52.70,,
